"val" "sd" "sigma" "nn"
"hamming-loss" 0.0945 0.0044 2 45
"coverage" 0.5426 0.0265 2 60
"ranking-loss" 0.0923 0.0051 2 60
"F1" 0.7447 0.0135 2 45
"macro-F1" 0.7423 0.0112 2 45
"micro-F1" 0.7369 0.012 2 45
"macro-AUC" 0.9128 0.0053 1.4 60
"micro-AUC" 0.9178 0.0042 1.4 60
"subset-accuracy" 0.667 0.0109 1.4 35
"average-precision" 0.8525 0.0094 2 45
