"val" "sd" "sigma" "nn"
"hamming-loss" 0.1842 0.0056 0.7 45
"coverage" 1.738 0.0369 0.5 25
"ranking-loss" 0.1542 0.0088 0.7 20
"F1" 0.6491 0.0111 0.7 45
"macro-F1" 0.6546 0.0098 0.7 25
"micro-F1" 0.6809 0.0111 0.7 45
"macro-AUC" 0.8504 0.0086 0.7 25
"micro-AUC" 0.8665 0.0083 0.7 25
"subset-accuracy" 0.3197 0.0134 0.9 25
"average-precision" 0.8088 0.0065 0.7 40
