"val" "sd" "sigma" "reg"
"hamming-loss" 0.1731 0.0046 1.2 0.8
"coverage" 0.6209 0.0397 1.2 0.8
"ranking-loss" 0.1074 0.0084 1.2 0.8
"F1" 0.6471 0.0131 1.2 0.8
"macro-F1" 0.6389 0.0114 1.2 0.8
"micro-F1" 0.611 0.0097 1.2 0.8
"macro-AUC" 0.7416 0.0062 1.2 0.8
"micro-AUC" 0.7468 0.0053 1.2 0.8
"subset-accuracy" 0.462 0.0088 1.2 0.8
"average-precision" 0.8134 0.0114 1.2 0.8
