"val" "sd" "k"
"hamming-loss" 0.2055 0.0029 5
"coverage" 6.4543 0.0563 9
"ranking-loss" 0.1791 0.0037 9
"F1" 0.6 0.0109 5
"macro-F1" 0.3387 0.0122 5
"micro-F1" 0.6242 0.0085 5
"macro-AUC" 0.6535 0.0095 7
"micro-AUC" 0.8264 0.0051 9
"subset-accuracy" 0.1649 0.018 5
"average-precision" 0.746 0.0068 9
