"val" "sd" "sigma" "nn"
"hamming-loss" 0.2553 0.0267 1.5 20
"coverage" 6.3474 0.418 1.5 20
"ranking-loss" 0.2436 0.0541 1.5 20
"F1" 0.5701 0.0583 1.5 20
"macro-F1" 0.4763 0.0216 1.5 20
"micro-F1" 0.5893 0.0452 1.5 20
"macro-AUC" 0.6553 0.057 1.5 20
"micro-AUC" 0.7362 0.0869 1.5 20
"subset-accuracy" 0.1197 0.0161 1.9 15
"average-precision" 0.7159 0.0367 1.5 20
